Redshift (z),Distance Modulus,Error in distance modulus
0.000804 ,29.178,0.041
0.008600 ,32.92,0.123
0.017100 ,34.527,0.25
0.008889 ,32.83,0.109
0.014327 ,33.709,0.149
0.008770 ,32.563,0.074
0.007125 ,32.541,0.059
0.005457 ,31.378,0.056
0.003896 ,31.287,0.037
0.003896 ,31.287,0.037
0.004316 ,31.491,0.061
0.004890 ,31.45,0.064
0.005270 ,32.051,0.099
0.007122 ,32.612,0.154
0.005140 ,32.464,0.158
0.009346,33.014,0.165
0.009346 ,33.014,0.165
0.009346 ,33.014,0.165
0.004520 ,32.331,0.076
0.004273 ,32.12,0.051
0.003559 ,31.936,0.034
0.007022 ,32.804,0.08
0.002843 ,31.635,0.089
0.003699 ,31.722,0.071
0.005477 ,31.603,0.116
0.001460 ,30.844,0.128
0.006031 ,30.835,0.05
0.003329 ,31.812,0.084
0.008312 ,32.599,0.205
0.009480 ,33.116,0.074
0.009400 ,33.116,0.074
0.005464 ,31.772,0.052
0.003999 ,30.546,0.052
0.003990 ,30.546,0.052
0.009353 ,33.094,0.205
0.006174 ,32.223,0.099
0.006461 ,32.363,0.12
0.003890 ,31.628,0.125
0.010847 ,33.246,0.117
0.008969,32.5,0.119
0.011639,33.187,0.153
0.006384 ,32.848,0.067
